Date,Open,High,Low,Close,Adj Close,Volume,Nombre
27/11/20,0.358,0.359,0.357,0.358,0.358,436630,Grupo_Famsa
30/11/20,0.359,0.359,0.357,0.357,0.357,74792,Grupo_Famsa
01/12/20,0.359,0.39,0.356,0.364,0.364,130884,Grupo_Famsa
02/12/20,0.357,0.375,0.35,0.351,0.351,711099,Grupo_Famsa
03/12/20,0.353,0.36,0.35,0.351,0.351,170614,Grupo_Famsa
04/12/20,0.355,0.365,0.355,0.364,0.364,152385,Grupo_Famsa
07/12/20,0.365,0.369,0.356,0.369,0.369,82505,Grupo_Famsa
08/12/20,0.369,0.377,0.364,0.374,0.374,109294,Grupo_Famsa
09/12/20,0.374,0.374,0.366,0.37,0.37,114389,Grupo_Famsa
10/12/20,0.37,0.374,0.37,0.373,0.373,42367,Grupo_Famsa
11/12/20,0.373,0.373,0.351,0.356,0.356,169117,Grupo_Famsa
14/12/20,0.367,0.371,0.35,0.35,0.35,124255,Grupo_Famsa
15/12/20,0.36,0.36,0.345,0.356,0.356,32552,Grupo_Famsa
16/12/20,0.357,0.357,0.34,0.341,0.341,260394,Grupo_Famsa
17/12/20,0.35,0.359,0.34,0.34,0.34,297607,Grupo_Famsa
18/12/20,0.33,0.344,0.33,0.338,0.338,167561,Grupo_Famsa
21/12/20,0.338,0.343,0.33,0.336,0.336,138254,Grupo_Famsa
22/12/20,0.336,0.343,0.32,0.332,0.332,101303,Grupo_Famsa
23/12/20,0.331,0.331,0.3,0.32,0.32,361073,Grupo_Famsa
24/12/20,0.317,0.331,0.305,0.315,0.315,2882223,Grupo_Famsa
28/12/20,0.324,0.324,0.3,0.313,0.313,3559570,Grupo_Famsa
29/12/20,0.317,0.32,0.309,0.319,0.319,950863,Grupo_Famsa
30/12/20,0.319,0.329,0.309,0.319,0.319,136864,Grupo_Famsa
31/12/20,0.319,0.324,0.314,0.32,0.32,120766,Grupo_Famsa
04/01/21,0.32,0.33,0.315,0.33,0.33,2934661,Grupo_Famsa
05/01/21,0.33,0.332,0.32,0.321,0.321,22621,Grupo_Famsa
06/01/21,0.319,0.328,0.314,0.315,0.315,907388,Grupo_Famsa
